Item,ColourCode,Dispatch
Kerosene,#33FFFF,
AviationFuel,#FFFFFF,
BiomassOther,#00FF33,
Diesel,#666633,
Gasoline,#FF3333,
HFO,#999999,
LPG,#3399FF,
Gas,#CC9966,
GAS,#CC9966,
Coal,#333333,
Oil,#000000,
Electricity,#006666,
Biomass,#669900,
Wind,#00FF00,
Solar,#FFFF00,
Hydro,#0066CC,
Hydrogen,#009966,
EGas,#330099,5
ECoal,#333333,2
EOil,#000000,5
EBiomass,#669900,5
EHydro,#0066CC,3
EPumpStorage,#FF0000,4
Ebattery,#0099CC,4
EImports,#CC0066,5
ENuclear,#009999,1
EWind,#00FF00,6
ECSP,#FFFF00,6
EPV,#FF9900,6
ETRANS,#FF3300,
CTL,#333333,
GTL,#CC9966,
CrudeRef,#000000,
Imports,#009966,
Extraction,#000066,
LNG,#CCFF33,
Refineries,#000000,2
Agriculture,#33CC00,2
Commerce,#0000CC,3
Industry,#666666,1
Residential,#FF3300,4
Transport,#FFFF00,5
Agriculatural,#33CC00,2
Commercial,#0000CC,3
Industrial,#666666,1
Supply,#000000,2
COA,#333333,
ELC,#006666,
ODS,#FFFFCC,
OGS,#99CC00,
OHF,#660000,
OKE,#CCFF66,
OLP,#CC3399,
BIB,#339900,
BIO,#33FF00,
BIW,#00CC00,
OAG,#CCCCFF,
Cooking,#FFCC00,5
Cooling,#3399FF,3
Refrigeration,#FF33FF,2
Heating,#FF3300,4
Lighting,#FFF000,6
Other,#003300,1
Water Heating,#999999,2
Public Water,#669900,
Public Lights,#CC9933,
Space Heating,#FF3300,5
